ClientIP,Domain,TotalTime_ms,ServersVisited,Result
10.0.0.1,2brightsparks.co.uk.,326.17,2,FAILED_NO_GLUE
10.0.0.1,41latitude.com.,393.37,3,FAILED_NO_GLUE
10.0.0.1,7dfps.com.,367.59,3,104.21.9.172
10.0.0.1,advertos.ru.,388.81,2,FAILED_NO_GLUE
10.0.0.1,afairjudgement.com.,421.45,3,104.21.56.56
10.0.0.1,afresnohomeinspector.com.,303.05,2,FAILED_NO_GLUE
10.0.0.1,alchemedialtd.com.,334.53,3,68.66.224.29
10.0.0.1,alenpuaca.com.,625.42,3,67.205.28.253
10.0.0.1,amorefieldlife.com.,325.61,3,162.241.226.124
10.0.0.1,aqvr.com.,616.20,3,89.117.19.57
10.0.0.1,asadventure.com.,335.26,3,143.204.55.60
10.0.0.1,astrumonline.ru.,352.27,2,FAILED_NO_GLUE
10.0.0.1,auqzzx.com.,373.01,2,NXDOMAIN
10.0.0.1,australiatradenow.com.,385.32,3,52.221.30.142
10.0.0.1,autofirenze.biz.,223.87,2,FAILED_NO_GLUE
10.0.0.1,bikesandtransit.com.,377.51,3,192.0.78.24
10.0.0.1,blueridgelife.com.,553.64,3,192.124.249.6
10.0.0.1,b-matrix.com.,607.74,3,137.135.108.176
10.0.0.1,buynowfromusa.com.,490.26,3,35.223.118.1
10.0.0.1,camcard.com.,364.64,3,184.169.209.203
10.0.0.1,caricsports.com.,413.31,3,104.21.51.12
10.0.0.1,cetsi.fr.,580.17,3,91.151.64.24
10.0.0.1,chonvn.com.,320.75,2,NXDOMAIN
10.0.0.1,chuamatsua.com.,400.34,3,REFUSED
10.0.0.1,coutureauchocolat.com.,322.07,2,NXDOMAIN
10.0.0.1,daehepharma.com.,456.51,3,FAILED_NO_GLUE
10.0.0.1,datepanchang.com.,596.88,3,13.75.93.156
10.0.0.1,diamondknot.com.,500.70,3,198.185.159.144
10.0.0.1,ditrblog.com.,311.49,2,NXDOMAIN
10.0.0.1,dj-producer-j-mbargo.com.,283.90,2,NXDOMAIN
10.0.0.1,door2games.com.,490.88,3,160.153.0.43
10.0.0.1,effexdjs.com.,330.16,2,NXDOMAIN
10.0.0.1,energybulbs.co.uk.,378.76,2,FAILED_NO_GLUE
10.0.0.1,eugenbotnar.com.,352.30,2,NXDOMAIN
10.0.0.1,ex-jw.org.,241.86,2,FAILED_NO_GLUE
10.0.0.1,fini.net.,648.08,3,198.57.192.137
10.0.0.1,forpsi.net.,497.29,3,85.255.6.237
10.0.0.1,gamemob.com.,477.71,3,3.33.130.190
