ClientIP,Domain,TotalTime_ms,ServersVisited,Result
10.0.0.1,2brightsparks.co.uk.,318.70,2,FAILED_NO_GLUE
10.0.0.1,41latitude.com.,367.00,3,FAILED_NO_GLUE
10.0.0.1,7dfps.com.,349.43,3,172.67.161.32
10.0.0.1,advertos.ru.,350.95,2,FAILED_NO_GLUE
10.0.0.1,afairjudgement.com.,327.64,3,172.67.178.132
10.0.0.1,afresnohomeinspector.com.,295.04,2,FAILED_NO_GLUE
10.0.0.1,alchemedialtd.com.,312.36,3,68.66.224.29
10.0.0.1,alenpuaca.com.,617.65,3,67.205.28.253
10.0.0.1,amorefieldlife.com.,335.93,3,162.241.226.124
10.0.0.1,aqvr.com.,599.30,3,89.117.19.57
10.0.0.1,asadventure.com.,316.24,3,143.204.55.46
10.0.0.1,astrumonline.ru.,364.36,2,FAILED_NO_GLUE
10.0.0.1,auqzzx.com.,304.70,2,NXDOMAIN
10.0.0.1,australiatradenow.com.,342.63,3,52.221.30.142
10.0.0.1,autofirenze.biz.,190.13,2,FAILED_NO_GLUE
10.0.0.1,bikesandtransit.com.,325.02,3,192.0.78.25
10.0.0.1,blueridgelife.com.,466.80,3,192.124.249.6
10.0.0.1,b-matrix.com.,464.56,3,137.135.108.176
10.0.0.1,buynowfromusa.com.,460.75,3,35.223.118.1
10.0.0.1,camcard.com.,338.55,3,184.169.209.203
10.0.0.1,caricsports.com.,326.55,3,172.67.216.98
10.0.0.1,cetsi.fr.,662.66,3,91.151.64.24
10.0.0.1,chonvn.com.,301.80,2,NXDOMAIN
10.0.0.1,chuamatsua.com.,328.32,3,REFUSED
10.0.0.1,coutureauchocolat.com.,300.90,2,NXDOMAIN
10.0.0.1,daehepharma.com.,520.27,3,FAILED_NO_GLUE
10.0.0.1,datepanchang.com.,538.06,3,13.75.93.156
10.0.0.1,diamondknot.com.,453.83,3,198.185.159.144
10.0.0.1,ditrblog.com.,309.45,2,NXDOMAIN
10.0.0.1,dj-producer-j-mbargo.com.,283.62,2,NXDOMAIN
10.0.0.1,door2games.com.,456.86,3,160.153.0.43
10.0.0.1,effexdjs.com.,301.72,2,NXDOMAIN
10.0.0.1,energybulbs.co.uk.,302.82,2,FAILED_NO_GLUE
10.0.0.1,eugenbotnar.com.,292.66,2,NXDOMAIN
10.0.0.1,ex-jw.org.,230.57,2,FAILED_NO_GLUE
10.0.0.1,fini.net.,580.10,3,198.57.192.137
10.0.0.1,forpsi.net.,460.84,3,85.255.6.237
10.0.0.1,gamemob.com.,502.16,3,3.33.130.190
10.0.0.1,gensee.com.,373.23,3,211.150.89.25
